LINHA:  4| LEXEMA: |int| TOKEN: |2|
LINHA:  4| LEXEMA: |x| TOKEN: |27|
LINHA:  4| LEXEMA: |[| TOKEN: |21|
LINHA:  4| LEXEMA: |10| TOKEN: |28|
LINHA:  4| LEXEMA: |]| TOKEN: |22|
LINHA:  4| LEXEMA: |;| TOKEN: |17|
LINHA:  6| LEXEMA: |int| TOKEN: |2|
LINHA:  6| LEXEMA: |minloc| TOKEN: |27|
LINHA:  6| LEXEMA: |(| TOKEN: |19|
LINHA:  6| LEXEMA: |int| TOKEN: |2|
LINHA:  6| LEXEMA: |a| TOKEN: |27|
LINHA:  6| LEXEMA: |[| TOKEN: |21|
LINHA:  6| LEXEMA: |]| TOKEN: |22|
LINHA:  6| LEXEMA: |,| TOKEN: |18|
LINHA:  6| LEXEMA: |int| TOKEN: |2|
LINHA:  6| LEXEMA: |low| TOKEN: |27|
LINHA:  6| LEXEMA: |,| TOKEN: |18|
LINHA:  6| LEXEMA: |int| TOKEN: |2|
LINHA:  6| LEXEMA: |high| TOKEN: |27|
LINHA:  6| LEXEMA: |)| TOKEN: |20|
LINHA:  7| LEXEMA: |{| TOKEN: |23|
LINHA:  7| LEXEMA: |int| TOKEN: |2|
LINHA:  7| LEXEMA: |i| TOKEN: |27|
LINHA:  7| LEXEMA: |;| TOKEN: |17|
LINHA:  7| LEXEMA: |int| TOKEN: |2|
LINHA:  7| LEXEMA: |x| TOKEN: |27|
LINHA:  7| LEXEMA: |;| TOKEN: |17|
LINHA:  7| LEXEMA: |int| TOKEN: |2|
LINHA:  7| LEXEMA: |k| TOKEN: |27|
LINHA:  7| LEXEMA: |;| TOKEN: |17|
LINHA:  8| LEXEMA: |k| TOKEN: |27|
LINHA:  8| LEXEMA: |=| TOKEN: |16|
LINHA:  8| LEXEMA: |low| TOKEN: |27|
LINHA:  8| LEXEMA: |;| TOKEN: |17|
LINHA:  9| LEXEMA: |x| TOKEN: |27|
LINHA:  9| LEXEMA: |=| TOKEN: |16|
LINHA:  9| LEXEMA: |a| TOKEN: |27|
LINHA:  9| LEXEMA: |[| TOKEN: |21|
LINHA:  9| LEXEMA: |low| TOKEN: |27|
LINHA:  9| LEXEMA: |]| TOKEN: |22|
LINHA:  9| LEXEMA: |;| TOKEN: |17|
LINHA: 10| LEXEMA: |i| TOKEN: |27|
LINHA: 10| LEXEMA: |=| TOKEN: |16|
LINHA: 10| LEXEMA: |low| TOKEN: |27|
LINHA: 10| LEXEMA: |+| TOKEN: |6|
LINHA: 10| LEXEMA: |1| TOKEN: |28|
LINHA: 10| LEXEMA: |;| TOKEN: |17|
LINHA: 11| LEXEMA: |while| TOKEN: |5|
LINHA: 11| LEXEMA: |(| TOKEN: |19|
LINHA: 11| LEXEMA: |i| TOKEN: |27|
LINHA: 11| LEXEMA: |<| TOKEN: |10|
LINHA: 11| LEXEMA: |high| TOKEN: |27|
LINHA: 11| LEXEMA: |)| TOKEN: |20|
LINHA: 12| LEXEMA: |{| TOKEN: |23|
LINHA: 12| LEXEMA: |if| TOKEN: |1|
LINHA: 12| LEXEMA: |(| TOKEN: |19|
LINHA: 12| LEXEMA: |a| TOKEN: |27|
LINHA: 12| LEXEMA: |[| TOKEN: |21|
LINHA: 12| LEXEMA: |i| TOKEN: |27|
